dimacs-analyzer,dimacs-analyzer-time,dimacs-file,iteration,model-satisfiable
sat-competition/02-zchaff,27349342,kmax/linux/v2.6.24[x86].dimacs,3,true
sat-competition/02-zchaff,35725886,kmax/linux/v2.6.29[x86].dimacs,3,true
sat-competition/02-zchaff,40454818,kmax/linux/v2.6.33[x86].dimacs,3,true
sat-competition/02-zchaff,65432427,kmax/linux/v2.6.37[x86].dimacs,3,true
sat-competition/02-zchaff,81700893,kmax/linux/v3.2[x86].dimacs,3,true
sat-competition/02-zchaff,98099240,kmax/linux/v3.8[x86].dimacs,3,true
sat-competition/02-zchaff,105059781,kmax/linux/v3.13[x86].dimacs,3,true
sat-competition/02-zchaff,108889721,kmax/linux/v3.19[x86].dimacs,3,true
sat-competition/02-zchaff,127607175,kmax/linux/v4.4[x86].dimacs,3,true
sat-competition/02-zchaff,145288886,kmax/linux/v4.10[x86].dimacs,3,true
sat-competition/02-zchaff,161130829,kmax/linux/v4.15[x86].dimacs,3,true
sat-competition/02-zchaff,177533865,kmax/linux/v5.0[x86].dimacs,3,true
sat-competition/02-zchaff,196479060,kmax/linux/v5.5[x86].dimacs,3,true
sat-competition/02-zchaff,218724063,kmax/linux/v5.11[x86].dimacs,3,true
sat-competition/02-zchaff,236593958,kmax/linux/v5.16[x86].dimacs,3,true
sat-competition/02-zchaff,246183511,kmax/linux/v6.2[x86].dimacs,3,true
sat-competition/02-zchaff,241239073,kmax/linux/v6.7[x86].dimacs,3,true
sat-competition/02-zchaff,28718819,kconfigreader/linux/v2.5.45[i386].dimacs,4,true
sat-competition/02-zchaff,26451978,kconfigreader/linux/v2.5.54[i386].dimacs,4,true
sat-competition/02-zchaff,34404444,kconfigreader/linux/v2.6.1[i386].dimacs,4,true
sat-competition/02-zchaff,45559563,kconfigreader/linux/v2.6.11[i386].dimacs,4,true
sat-competition/02-zchaff,55323583,kconfigreader/linux/v2.6.15[i386].dimacs,4,true
sat-competition/02-zchaff,75663773,kconfigreader/linux/v2.6.20[i386].dimacs,4,true
sat-competition/02-zchaff,100024789,kconfigreader/linux/v2.6.24[x86].dimacs,4,true
sat-competition/02-zchaff,129064740,kconfigreader/linux/v2.6.29[x86].dimacs,4,true
sat-competition/02-zchaff,138120070,kconfigreader/linux/v2.6.33[x86].dimacs,4,true
sat-competition/02-zchaff,167769804,kconfigreader/linux/v2.6.37[x86].dimacs,4,true
sat-competition/02-zchaff,179310557,kconfigreader/linux/v3.2[x86].dimacs,4,true
sat-competition/02-zchaff,191666672,kconfigreader/linux/v3.8[x86].dimacs,4,true
sat-competition/02-zchaff,213815054,kconfigreader/linux/v3.13[x86].dimacs,4,true
sat-competition/02-zchaff,251240199,kconfigreader/linux/v3.19[x86].dimacs,4,true
sat-competition/02-zchaff,272316746,kconfigreader/linux/v4.4[x86].dimacs,4,true
sat-competition/02-zchaff,316044199,kconfigreader/linux/v4.10[x86].dimacs,4,true
sat-competition/02-zchaff,346222497,kconfigreader/linux/v4.15[x86].dimacs,4,true
sat-competition/02-zchaff,389921145,kconfigreader/linux/v5.0[x86].dimacs,4,true
sat-competition/02-zchaff,406618558,kconfigreader/linux/v5.5[x86].dimacs,4,true
sat-competition/02-zchaff,476655247,kconfigreader/linux/v5.11[x86].dimacs,4,true
sat-competition/02-zchaff,503941762,kconfigreader/linux/v5.16[x86].dimacs,4,true
sat-competition/02-zchaff,534521176,kconfigreader/linux/v6.2[x86].dimacs,4,true
sat-competition/02-zchaff,597433451,kconfigreader/linux/v6.7[x86].dimacs,4,true
sat-competition/02-zchaff,9492326,kmax/linux/v2.5.45[i386].dimacs,4,true
sat-competition/02-zchaff,9271935,kmax/linux/v2.5.54[i386].dimacs,4,true
sat-competition/02-zchaff,11043895,kmax/linux/v2.6.1[i386].dimacs,4,true
sat-competition/02-zchaff,13267496,kmax/linux/v2.6.11[i386].dimacs,4,true
sat-competition/02-zchaff,16931820,kmax/linux/v2.6.15[i386].dimacs,4,true
sat-competition/02-zchaff,21154513,kmax/linux/v2.6.20[i386].dimacs,4,true
sat-competition/02-zchaff,27870580,kmax/linux/v2.6.24[x86].dimacs,4,true
